frame_number,timestamp
3674,0:04:04
3677,0:04:05
3680,0:04:05
3683,0:04:05
3686,0:04:05
3689,0:04:05
3692,0:04:06
3695,0:04:06
3698,0:04:06
3702,0:04:06
3780,0:04:11
3783,0:04:12
3786,0:04:12
3789,0:04:12
3792,0:04:12
3795,0:04:12
3798,0:04:13
3801,0:04:13
3804,0:04:13
3807,0:04:13
3810,0:04:13
3813,0:04:14
3816,0:04:14
3819,0:04:14
3822,0:04:14
3825,0:04:14
3828,0:04:15
3831,0:04:15
3834,0:04:15
3837,0:04:15
3840,0:04:15
3843,0:04:16
3846,0:04:16
3849,0:04:16
3852,0:04:16
3855,0:04:16
3858,0:04:17
3861,0:04:17
3864,0:04:17
3867,0:04:17
3870,0:04:17
3947,0:04:23
4251,0:04:43
4254,0:04:43
4257,0:04:43
4260,0:04:43
4264,0:04:44
4267,0:04:44
4270,0:04:44
4273,0:04:44
4276,0:04:45
4279,0:04:45
4282,0:04:45
4285,0:04:45
4288,0:04:45
4291,0:04:46
4294,0:04:46
4297,0:04:46
4300,0:04:46
4303,0:04:46
4306,0:04:47
4309,0:04:47
4312,0:04:47
4315,0:04:47
4318,0:04:47
4321,0:04:48
4324,0:04:48
4327,0:04:48
4330,0:04:48
4333,0:04:48
4336,0:04:49
4339,0:04:49
4342,0:04:49
4345,0:04:49
4348,0:04:49
4351,0:04:50
4354,0:04:50
4357,0:04:50
4360,0:04:50
4363,0:04:50
4366,0:04:51
4369,0:04:51
4372,0:04:51
4375,0:04:51
4378,0:04:51
4381,0:04:52
4384,0:04:52
4387,0:04:52
4390,0:04:52
4393,0:04:52
4396,0:04:53
4399,0:04:53
4402,0:04:53
4405,0:04:53
4408,0:04:53
4411,0:04:54
4414,0:04:54
4417,0:04:54
4420,0:04:54
4423,0:04:54
4426,0:04:55
4429,0:04:55
4432,0:04:55
4435,0:04:55
4438,0:04:55
4443,0:04:56
4446,0:04:56
4449,0:04:56
4452,0:04:56
4457,0:04:57
4460,0:04:57
4464,0:04:57
